angDist,id_kic,m17_ra,m17_dec,ra_ep2000,dec_ep2000,errHalfMaj,errHalfMin,errPosAng,ra,dec,source_id,ref_epoch,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b
5.637692,12356617,291.2012,51.144279,291.2022203220,51.1428497760,0.001,0.000,0,291.2022203220,51.1428497760,2136191732305041920,2015.0,0.436,0.796,,,,,,,0.481,0,98,5.83156e+02,4.07184e+00,18.610,NOT_AVAILABLE,82.7320776236,15.9063153012
0.073674,12365184,295.41788,51.184761,295.4179124514,51.1847632505,0.000,0.000,0,295.4179124514,51.1847632505,2135604421297044608,2015.0,0.150,0.365,,,,,,,0.321,1,60,1.12098e+05,1.81457e+02,12.901,NOT_AVAILABLE,83.9345770595,13.5322308539
0.220010,12401132,287.70197,51.229729,287.7019405065,51.2296707435,0.000,0.000,0,287.7019405065,51.2296707435,2133389558202022656,2015.0,0.131,0.152,,,,,,,-0.361,0,131,4.04640e+04,1.65482e+01,14.007,NOT_AVAILABLE,81.9400050019,17.9668858559
0.134798,12401863,288.14478,51.27562,288.1447344811,51.2756443143,0.000,0.000,0,288.1447344811,51.2756443143,2133404470328123136,2015.0,0.077,0.111,,,,,,,0.218,0,140,7.47664e+04,2.07076e+01,13.341,NOT_AVAILABLE,82.0910172461,17.7255219013
4.068004,12401863,288.14478,51.27562,288.1436385445,51.2764957982,0.001,0.001,0,288.1436385445,51.2764957982,2133404474621998848,2015.0,0.565,0.879,,,,,,,0.734,0,85,5.35312e+02,2.58842e+00,18.703,NOT_AVAILABLE,82.0915850651,17.7264719113
0.493542,12403119,288.84863,51.209049,288.8488481138,51.2090378919,0.000,0.000,0,288.8488481138,51.2090378919,2133344787462445312,2015.0,0.124,0.162,,,,,,,0.656,0,133,1.90937e+05,8.72349e+01,12.323,NOT_AVAILABLE,82.1975451307,17.2914554145
0.352971,12404305,289.52115,51.237309,289.5211943700,51.2374030297,0.000,0.000,0,289.5211943700,51.2374030297,2133242842117431424,2015.0,0.127,0.202,,,,,,,0.774,0,120,3.88659e+04,1.73633e+01,14.051,NOT_AVAILABLE,82.3918819561,16.9124922797
3.583993,12404305,289.52115,51.237309,289.5226407148,51.2376554489,0.002,0.001,0,289.5226407148,51.2376554489,2133242842119719424,2015.0,1.134,1.528,,,,,,,0.985,0,95,2.07106e+03,9.56897e+00,17.234,NOT_AVAILABLE,82.3924877900,16.9117521744
5.256064,12404305,289.52115,51.237309,289.5234813783,51.2373410246,0.000,0.000,0,289.5234813783,51.2373410246,2133242846412753152,2015.0,0.255,0.381,,,,,,,0.855,0,104,1.77853e+03,3.35410e+00,17.400,NOT_AVAILABLE,82.3923946083,16.9111455921
0.350152,12404954,289.88065,51.277081,289.8805820461,51.2769935164,0.000,0.000,0,289.8805820461,51.2769935164,2133263732838834304,2015.0,0.104,0.151,,,,,,,0.199,0,129,1.04382e+05,2.53425e+01,12.978,NOT_AVAILABLE,82.5204036083,16.7200909310
0.106489,12405333,290.08478,51.208599,290.0847394350,51.2086141377,0.000,0.000,0,290.0847394350,51.2086141377,2133215457407276800,2015.0,0.089,0.128,,,,,,,0.400,0,126,1.53232e+04,1.36970e+01,15.061,NOT_AVAILABLE,82.5063448479,16.5757687399
0.176705,12416661,295.53839,51.202961,295.5384397741,51.2029989039,0.000,0.000,0,295.5384397741,51.2029989039,2135594388253440768,2015.0,0.256,0.415,,,,,,,0.180,0,103,2.64436e+05,7.87083e+01,11.969,NOT_AVAILABLE,83.9862605846,13.4729670572
0.181182,12454461,288.0593,51.35445,288.0592207223,51.3544590450,0.001,0.001,0,288.0592207223,51.3544590450,2133405707276892288,2015.0,1.061,1.335,,,,,,,0.291,0,146,1.20281e+05,1.49892e+03,12.824,NOT_AVAILABLE,82.1474998658,17.8041049406
0.187798,12456063,289.01178,51.376019,289.0117821952,51.3760711480,0.000,0.000,0,289.0117821952,51.3760711480,2133440616773886080,2015.0,0.147,0.279,,,,,,,0.333,0,104,2.73583e+05,8.53163e+01,11.932,NOT_AVAILABLE,82.3997375508,17.2597504134
0.136314,12458605,290.42307,51.388729,290.4231291656,51.3887374012,0.000,0.000,0,290.4231291656,51.3887374012,2133210303446757120,2015.0,0.084,0.142,,,,,,,0.322,0,124,7.02180e+04,1.90678e+01,13.409,NOT_AVAILABLE,82.7654932379,16.4513539403
3.686972,12458605,290.42307,51.388729,290.4240891935,51.3895317446,0.036,0.018,90,290.4240891935,51.3895317446,2133210307741784064,2015.0,35.715,17.738,,,,,,,0.138,0,27,2.86745e+02,8.99516e+00,19.381,NOT_AVAILABLE,82.7665001049,16.4511143387
6.130105,12458605,290.42307,51.388729,290.4207657938,51.3896411580,0.000,0.000,0,290.4207657938,51.3896411580,2133210303447488512,2015.0,0.180,0.297,,,,,,,0.475,0,90,2.09015e+03,3.76016e+00,17.224,NOT_AVAILABLE,82.7657571074,16.4530650197
6.927618,12458605,290.42307,51.388729,290.4250903551,51.3872752154,0.020,0.012,0,290.4250903551,51.3872752154,2133210307741784320,2015.0,11.682,19.784,,,,,,,0.006,0,25,9.09058e+01,3.30728e+00,20.628,NOT_AVAILABLE,82.7645911960,16.4496547020
0.173160,12470954,296.40686,51.35815,296.4068958747,51.3581925649,0.000,0.000,0,296.4068958747,51.3581925649,2135507629914513536,2015.0,0.101,0.144,,,,,,,0.477,0,120,3.39457e+04,1.22407e+01,14.198,NOT_AVAILABLE,84.3821417925,13.0598009297
5.604174,12470954,296.40686,51.35815,296.4075419150,51.3596473454,0.002,0.001,0,296.4075419150,51.3596473454,2135507634209051264,2015.0,1.122,1.575,,,,,,,0.869,0,87,3.11647e+02,2.22423e+00,19.291,NOT_AVAILABLE,84.3836585095,13.0601110328
0.072644,12505503,288.57358,51.472752,288.5735940577,51.4727701800,0.001,0.001,0,288.5735940577,51.4727701800,2133364303794183296,2015.0,0.518,1.075,,,,,,,0.273,0,114,6.61327e+04,3.45492e+01,13.474,NOT_AVAILABLE,82.3868460996,17.5493260492
0.071190,12600735,289.50067,51.68573,289.5006798132,51.6857111841,0.000,0.000,0,289.5006798132,51.6857111841,2133285379473278720,2015.0,0.101,0.172,,,,,,,-0.029,0,94,4.31349e+04,3.72766e+01,13.938,NOT_AVAILABLE,82.8201495233,17.0952928376
4.756593,12600735,289.50067,51.68573,289.5022131933,51.6848187378,0.018,0.006,0,289.5022131933,51.6848187378,2133285383770389504,2015.0,5.829,17.894,,,,,,,0.264,0,59,3.28245e+02,3.16415e+00,19.234,NOT_AVAILABLE,82.8196641896,17.0940742191
0.288700,12735740,289.76361,51.962601,289.7636204305,51.9626809366,0.000,0.000,0,289.7636204305,51.9626809366,2139300257834408832,2015.0,0.095,0.157,,,,,,,0.467,0,93,1.62351e+05,4.66494e+01,12.499,NOT_AVAILABLE,83.1528141229,17.0506061703
6.602284,12735740,289.76361,51.962601,289.7663479547,51.9633202411,0.001,0.001,0,289.7663479547,51.9633202411,2139300051677528576,2015.0,0.740,1.166,,,,,,,0.728,0,69,4.44795e+02,5.41368e+00,18.904,NOT_AVAILABLE,83.1541036631,17.0492972635
7.693878,12735740,289.76361,51.962601,289.7662004644,51.9640222179,0.013,0.005,0,289.7662004644,51.9640222179,2139300055970269824,2015.0,4.971,13.463,,,,,,,0.996,0,60,3.01901e+02,1.60759e+00,19.325,NOT_AVAILABLE,83.1547458961,17.0496494342
0.252753,12737015,290.48007,51.965012,290.4801125238,51.9649468630,0.000,0.000,0,290.4801125238,51.9649468630,2139267135047224960,2015.0,0.082,0.124,,,,,,,0.552,0,139,6.67629e+04,1.74928e+01,13.463,NOT_AVAILABLE,83.3331141164,16.6442507536
0.141867,757450,291.1376,36.577381,291.1376188914,36.5773446297,0.000,0.000,0,291.1376188914,36.5773446297,2050231844525908352,2015.0,0.104,0.142,,,,,,,0.354,0,118,1.52373e+04,1.42617e+01,15.067,NOT_AVAILABLE,69.1999487528,9.7193027975
4.205921,757450,291.1376,36.577381,291.1370037418,36.5763153202,0.011,0.007,90,291.1370037418,36.5763153202,2050231844532606336,2015.0,11.070,6.983,,,,,,,0.406,0,26,6.95167e+01,3.15736e+00,20.920,NOT_AVAILABLE,69.1987906018,9.7192820670
6.371610,757450,291.1376,36.577381,291.1370119995,36.5790867413,0.017,0.009,90,291.1370119995,36.5790867413,2050231848823608960,2015.0,16.922,9.095,,,,,,,0.377,0,26,7.44096e+01,3.09617e+00,20.846,NOT_AVAILABLE,69.2013060741,9.7205204454
7.880283,757450,291.1376,36.577381,291.1362487395,36.5754799386,0.000,0.000,0,291.1362487395,36.5754799386,2050231844525908480,2015.0,0.215,0.245,,,,,,,0.399,0,101,1.81678e+03,7.06069e+00,17.377,NOT_AVAILABLE,69.1977570945,9.7194487705
0.657728,1026957,291.25449,36.74361,291.2544242733,36.7434350537,0.000,0.000,0,291.2544242733,36.7434350537,2050239300586448000,2015.0,0.127,0.180,,,,,,,0.388,0,131,1.79648e+05,1.40147e+02,12.389,NOT_AVAILABLE,69.3932010608,9.7102115030
7.881415,1026957,291.25449,36.74361,291.2530316404,36.7417587127,0.001,0.001,0,291.2530316404,36.7417587127,2050239270527921024,2015.0,0.562,0.620,,,,,,,0.314,0,104,4.77380e+02,2.77375e+00,18.828,NOT_AVAILABLE,69.3911729215,9.7104547233
0.192082,1027438,291.35403,36.784519,291.3539744816,36.7844895075,0.000,0.000,0,291.3539744816,36.7844895075,2050240056504232448,2015.0,0.097,0.157,,,,,,,0.191,0,105,6.60551e+04,2.14446e+01,13.475,NOT_AVAILABLE,69.4667960588,9.6574608370
0.131885,1718189,290.72867,37.252651,290.7287151970,37.2526579173,0.004,0.002,0,290.7287151970,37.2526579173,2051030227419370752,2015.0,1.539,4.347,,,,,,,0.999,1,69,3.59287e+04,1.89282e+01,14.136,NOT_AVAILABLE,69.6653653176,10.3133313147
4.166328,1718189,290.72867,37.252651,290.7273989690,37.2532129872,0.017,0.004,0,290.7273989690,37.2532129872,2051030227416724352,2015.0,3.881,16.555,,,,,,,0.991,0,78,3.61462e+02,3.19780e+00,19.130,NOT_AVAILABLE,69.6653982002,10.3145165100
