,id_starname,id_kic,id_koicand,id_kepler_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2,koi_sparprov,kic_kepmag,kic_jmag,kic_hmag,kic_kmag,cks_fp,cks_steff,cks_steff_err1,cks_steff_err2,cks_slogg,cks_slogg_err1,cks_slogg_err2,cks_smet,cks_smet_err1,cks_smet_err2,cks_svsini,cks_svsini_err1,cks_svsini_err2,m17_dec,m17_steff,m17_kmag,m17_srad,m17_hmag_err,m17_jmag_err,m17_kmag_err,m17_smass,m17_ra,m17_jmag,st_quarters,m17_hmag,m17_kepmag,gaia2_angdist,gaia2_sparallax_over_err,gaia2_sparallax_err,gaia2_gmag,gaia2_gflux_err,gaia2_gflux,gaia2_ra,id_gaia2,gaia2_dec,gaia2_sparallax,id_gaia2_best,gaia2_gflux_sum,absdiff_gmag_kepmag,gaia2_gflux_ratio,iso_sage_err2,iso_sage_err1,iso_srad_err2,iso_srad_err1,iso_smet,iso_smass,iso_sage,iso_steff_err2,iso_steff,iso_steff_err1,iso_slogage_err2,iso_slogage_err1,iso_srad,iso_sparallax_err2,iso_sparallax_err1,iso_slogg,iso_smass_err1,iso_smass_err2,iso_smet_err2,iso_smet_err1,iso_sparallax,iso_slogg_err2,iso_slogg_err1,iso_prad,iso_prad_err1,iso_prad_err2,iso_insol,iso_insol_err1,iso_insol_err2,iso_teq,iso_teq_err1,iso_teq_err2,iso_sma,iso_sma_err1,iso_sma_err2
0,K00001,11446443,K00001.01,Kepler-1 b,CONFIRMED,2.470613385,1.9e-08,-1.9e-08,2454955.763,6.2e-06,-6.2e-06,0.8186,0.0003,-0.0006,1.74259,0.00089,-0.00089,,,,14186.4,46.7,-46.7,0.123851,2.5e-05,-7.6e-05,1.83176,0.00684,-0.00441,12.85,0.27,-0.27,0.035,,,1344.0,,,772.22,60.74,-57.15,8.3922,0.0313,-0.0313,7825.785,6802.0,1,,5850.0,50.0,-50.0,4.455,0.025,-0.025,-0.15,0.1,-0.1,0.95,0.02,-0.02,0.94,0.05,-0.05,,,,stellar_q1_q16,11.338,10.232,9.92,9.846,False,5818.8,60.0,-60.0,4.4,0.1,-0.1,0.012,0.04,-0.04,1.3,1.0,-1.0,49.316399,5820,9.846,0.964,0.026,0.02,0.022,0.971,286.80847,10.232,11111110111011101,9.92,11.338,0.153217994185,206.4359,0.0223576777398,11.281895,251.595138932,578879.681341,286.808525789,2131314401800665344,49.3164211084,4.61542743591,True,,-0.056105,1.0,-1.1538242733,1.93628126949,-0.00690680693517,0.00776687535384,-0.0112240540177,0.997932565469,5.28190115088,-59.4047841857,5827.9370739,53.8465668023,-0.10704249266,0.135637584238,1.05138218033,-2.23576777398e-05,2.23576777398e-05,4.39243881197,0.0204373638691,-0.0373970050244,-0.0359846372129,0.0451940860136,0.00461542743591,-0.021601679322,0.0157276891776,14.2235296255,0.0982714222862,-0.0982714222862,888.489606729,42.3866951116,-42.3866951116,1391.31867376,16.5664876807,-16.5664876807,0.0357595559782,0.000343031105452,-0.000343031105452
1,K00002,10666592,K00002.01,Kepler-2 b,CONFIRMED,2.204735365,3.8e-08,-3.8e-08,2454954.359,1.43e-05,-1.43e-05,0.001,0.0111,-0.001,3.88216,0.00044,-0.00044,,,,6690.6,1.3,-1.3,0.075408,8e-06,-7e-06,0.40593,6e-05,-0.00027,16.39,0.15,-0.14,0.0381,,,2025.0,,,3973.7,279.95,-264.48,4.707268,0.0007,-0.0007,3946.296,6714.5,1,,6350.0,80.0,-80.0,4.021,0.011,-0.011,0.26,0.08,-0.08,1.991,0.018,-0.018,1.52,0.036,-0.036,,,,stellar_q1_q16,10.463,9.555,9.344,9.334,False,6448.7,60.0,-60.0,4.134,0.1,-0.1,0.203,0.04,-0.04,5.2,1.0,-1.0,47.969521,6440,9.334,1.952,0.029,0.03,0.018,1.449,292.24728,9.555,11111111111111111,9.344,10.463,0.230796533556,140.94762,0.0205970480332,10.3654175,487.175086501,1346416.02872,292.247189993,2129256395211984000,47.9695428769,2.90310472423,True,,-0.0975825,1.0006836711,-0.190486343813,0.177017033817,-0.00475455361503,0.0249463264287,0.180315674859,1.52451512992,1.76775944279,-54.9562371163,6455.49080104,63.5207126653,-0.049516269465,0.0414465269995,1.98695985112,-2.05970480332e-05,2.05970480332e-05,4.02217069402,0.025973293092,-0.021770334911,-0.0393455509416,0.0452742550253,0.00290310472423,-0.00995923590652,0.0107421572518,16.3670962524,0.121283570304,-0.121283570304,4205.3261114,174.004478908,-174.004478908,2052.17052714,21.2067458061,-21.2067458061,0.0381747478089,0.000198493766211,-0.000198493766211
2,K00006,3248033,K00006.01,,FALSE POSITIVE,1.334104268,7.07e-07,-7.07e-07,2454966.702,0.00042,-0.00042,1.2741,0.1042,-0.2177,3.0142,0.0218,-0.0218,,,,444.2,3.1,-3.1,0.294016,0.103683,-0.209459,0.03526,0.00699,-0.00941,50.73,13.32,-10.92,0.025,,,2166.0,,,5207.55,3668.21,-2267.49,1.491,0.296,-0.296,49.141636,192.7,1,,6178.0,104.0,-133.0,4.106,0.175,-0.152,0.0,0.12,-0.14,1.58,0.415,-0.34,1.16,0.162,-0.114,,,,stellar_q1_q16,12.161,11.259,11.02,10.995,True,6348.1,60.0,-60.0,4.357,0.1,-0.1,0.044,0.04,-0.04,11.8,1.0,-1.0,38.366772,6178,10.995,1.58,0.024,0.023,0.023,1.16,294.59955,11.259,11111011101110111,11.02,12.161,0.326420515318,78.69591,0.0263619644556,12.114113,40.8445962435,268968.252002,294.599631086,2052120191332583424,38.36683665,2.07457874198,True,,-0.046887,1.00718525557,-1.05710106834,0.439784511479,-0.0185843085716,0.0166564811411,0.0215402985868,1.20323039759,2.26512555,-40.4896115283,6321.13497023,78.893486469,-0.273016543098,0.077060550523,1.29810317413,-2.63619644556e-05,2.63619644556e-05,4.28807593687,0.0462017900403,-0.0177263097625,-0.0488361741996,0.0483594758069,0.00207457874198,-0.0166750025647,0.0315293986997,41.6093678638,22.0647743977,-22.0647743977,3857.276074,192.65193029,-192.65193029,2008.32367054,25.0781297557,-25.0781297557,0.0252427120568,0.000223457557679,-0.000223457557679
3,K00007,11853905,K00007.01,Kepler-4 b,CONFIRMED,3.213668628,1.122e-06,-1.122e-06,2454956.612,0.00028,-0.00028,0.0189,0.1978,-0.0188,3.99355,0.00945,-0.00945,,,,727.7,2.6,-2.6,0.024735,0.000141,-7.6e-05,0.46381,0.00018,-0.0571,4.14,0.11,-0.11,0.0439,,,1507.0,,,1218.92,133.27,-122.39,6.32647,0.00246,-0.00246,311.06277,328.5,1,,5781.0,76.0,-76.0,4.105,0.01,-0.01,0.09,0.101,-0.101,1.533,0.04,-0.04,1.092,0.073,-0.073,,,,stellar_q1_q16,12.211,11.122,10.836,10.805,False,5826.9,60.0,-60.0,4.089,0.1,-0.1,0.177,0.04,-0.04,2.8,1.0,-1.0,50.13575,5795,10.805,1.545,0.031,0.023,0.023,1.097,285.61533,11.122,11111110111011101,10.836,12.211,0.285486878324,83.16804,0.0242993961209,12.1576605,36.0803277367,258393.899215,285.615449236,2132152916856093952,50.1357711589,2.02093316094,True,,-0.0533395,1.0,-1.2134357657,1.22293206812,-0.0222854766418,0.0199956147428,0.164532195593,1.1512301694,6.08607989588,-57.5626210241,5842.53020858,45.6923421464,-0.0965729551463,0.0795210234519,1.54092377072,-2.42993961209e-05,2.42993961209e-05,4.12610725382,0.0544615083263,-0.0510212340796,-0.0458481029158,0.0329253989944,0.00202093316094,-0.0278191096561,0.0199827518718,4.16349777138,0.0600546044865,-0.0600546044865,1230.84766784,71.878681747,-71.878681747,1509.4356497,21.9856512309,-21.9856512309,0.0446784570164,0.000688463953098,-0.000688463953098
4,K00008,5903312,K00008.01,,FALSE POSITIVE,1.160153243,4.27e-07,-4.27e-07,2454954.704,0.000369,-0.000369,0.7843,0.0178,-0.5569,1.4127,0.025,-0.025,,,,368.7,19.3,-19.3,0.018559,0.000246,-0.001678,1.01855,2.56372,-0.17903,2.0,0.38,-0.16,0.0213,,,1752.0,,,2229.29,1175.88,-491.07,4.17,1.7,-1.7,43.115734,201.0,1,,5842.0,112.0,-118.0,4.433,0.062,-0.156,-0.1,0.14,-0.16,0.985,0.187,-0.079,0.959,0.062,-0.069,,,,stellar_q1_q16,12.45,11.371,11.092,11.04,True,5891.1,60.0,-60.0,4.535,0.1,-0.1,-0.066,0.04,-0.04,3.0,1.0,-1.0,41.13789,5842,11.04,0.985,0.022,0.02,0.018,0.959,298.66101,11.371,11111111111111111,11.092,12.45,0.216697436107,124.164116,0.023823308183,12.417539,45.7566091744,203390.625528,298.661051402,2073819152080638848,41.1379414882,2.95799991191,True,,-0.032461,1.00142213201,-0.70141319619,1.31106162131,-0.00625288954608,0.00709086842426,-0.116315768814,0.992364526876,1.23069419716,-45.9957686998,5848.35257221,34.6621132292,-0.366463847994,0.314983673535,0.922584599075,-2.3823308183e-05,2.3823308183e-05,4.50477255548,0.0137508322627,-0.0247435742068,-0.0304187838218,0.0426790476349,0.00295799991191,-0.0149598986451,0.00789260047833,1.86904737654,0.0987626351872,-0.0987626351872,1979.28681438,89.251726594,-89.251726594,1699.77214903,19.1562585128,-19.1562585128,0.021560156949,0.000140838634053,-0.000140838634053
5,K00010,6922244,K00010.01,Kepler-8 b,CONFIRMED,3.522498573,1.94e-07,-1.94e-07,2454954.119,4.64e-05,-4.64e-05,0.6141,0.0061,-0.0094,3.19061,0.00633,-0.00633,,,,9379.3,6.6,-6.6,0.093582,0.000117,-0.000198,0.68914,0.0184,-0.01254,14.83,1.19,-1.32,0.0473,,,1521.0,,,1264.67,323.37,-317.46,7.675,0.205,-0.205,1792.6439,1801.5,1,,6225.0,114.0,-158.0,4.169,0.055,-0.048,-0.04,0.12,-0.16,1.451,0.117,-0.129,1.132,0.088,-0.098,,,,stellar_q1_q16,13.563,12.576,12.324,12.293,False,6181.3,60.0,-60.0,4.238,0.1,-0.1,-0.084,0.04,-0.04,10.2,1.0,-1.0,42.45108,6225,12.293,1.451,0.018,0.023,0.015,1.132,281.28812,12.576,11111111111111111,12.324,13.563,0.0725785748683,68.56159,0.0138526213894,13.529923,17.7543209137,73009.0782162,281.28813353,2116730994965905280,42.4510975153,0.949757728426,True,,-0.033077,1.0071535801,-0.510858965355,1.15154804462,-0.0245302022795,0.0242476835207,-0.0904225890805,1.18685403756,4.18182649015,-42.9037713039,6190.25514548,64.8251690025,-0.056585466832,0.105636073597,1.59729408625,-1.38526213894e-05,1.38526213894e-05,4.10244569478,0.0319785581647,-0.0639799127867,-0.0439804134645,0.0333070793977,0.000949757728426,-0.0247181380809,0.0182818532944,16.3285443019,0.251317135943,-0.251317135943,1449.95442784,82.3076862229,-82.3076862229,1572.54149552,22.2502252583,-22.2502252583,0.0479942529333,0.000644589921694,-0.000644589921694
6,K00017,10874614,K00017.01,Kepler-6 b,CONFIRMED,3.234699312,1.13e-07,-1.13e-07,2454954.487,2.77e-05,-2.77e-05,0.0008,0.0181,-0.0008,3.60111,0.00091,-0.00091,,,,10814.1,4.0,-4.0,0.095137,2e-05,-1.8e-05,0.77551,0.00039,-0.00113,13.41,0.97,-1.03,0.0435,,,1355.0,,,797.62,185.14,-169.15,7.54164,0.00379,-0.00379,3100.344,3344.9,1,,5640.0,99.0,-110.0,4.236,0.049,-0.047,0.34,0.1,-0.16,1.291,0.093,-0.099,1.047,0.079,-0.075,,,,stellar_q1_q16,13.303,12.001,11.706,11.634,False,5659.8,60.0,-60.0,4.153,0.1,-0.1,0.359,0.04,-0.04,2.6,1.0,-1.0,48.239944,5640,11.634,1.291,0.019,0.021,0.019,1.047,296.83725,12.001,11111101110111011,11.706,13.303,0.0919489779798,115.63658,0.0144820321996,13.171408,26.765495846,101574.145149,296.837247537,2086636884980514304,48.2399694887,1.67465266087,True,,-0.131592,1.03205520744,-1.19078553034,1.42915629661,-0.0119667315914,0.012383166697,0.333956727258,1.09260958095,6.89005453586,-61.6410783624,5661.18815942,43.604097903,-0.0824035032708,0.0818594712646,1.28276815873,-1.44820321996e-05,1.44820321996e-05,4.26105736665,0.032183548629,-0.0336953210064,-0.0359214481005,0.0453783697744,0.00167465266087,-0.0200978204898,0.0157354636782,13.3323973375,0.125724373168,-0.125724373168,778.444607643,39.4046461405,-39.4046461405,1346.07870815,16.9992020845,-16.9992020845,0.0441159753922,0.000440630222676,-0.000440630222676
7,K00018,8191672,K00018.01,Kepler-5 b,CONFIRMED,3.548465405,1.96e-07,-1.96e-07,2454955.901,4.59e-05,-4.59e-05,0.0003,0.0211,-0.0003,4.57705,0.00133,-0.00133,,,,7451.9,3.6,-3.6,0.080126,2.2e-05,-2e-05,0.39897,0.00033,-0.00057,15.28,1.18,-1.28,0.05,,,1640.0,,,1708.28,410.12,-380.13,6.42769,0.00532,-0.00532,2373.4998,2442.4,1,,6290.0,105.0,-120.0,4.074,0.045,-0.054,0.04,0.1,-0.16,1.746,0.135,-0.146,1.319,0.09,-0.135,,,,stellar_q1_q16,13.369,12.115,11.863,11.769,False,6331.9,60.0,-60.0,4.121,0.1,-0.1,0.022,0.04,-0.04,4.4,1.0,-1.0,44.035053,6290,11.769,1.746,0.032,0.029,0.025,1.319,299.40701,12.115,11111111111111111,11.863,13.369,0.0809254466371,53.633934,0.0201912994398,13.226292,25.4330720329,96567.1997118,299.407034131,2079018300195390464,44.0350387042,1.08293884916,True,,-0.142708,1.01765665666,-0.258570328989,0.275449770426,-0.0316573740344,0.0343277651782,-0.00254292742125,1.31188162536,2.84922109286,-63.8255952521,6330.11427883,54.2754006098,-0.0413172794928,0.0400781269702,1.69842572784,-2.01912994398e-05,2.01912994398e-05,4.09374173382,0.0231156246606,-0.0258016193803,-0.041787852701,0.043051628791,0.00108293884916,-0.0165907577902,0.017567075071,14.8629980579,0.289170370212,-0.289170370212,1671.16412248,92.7988318993,-92.7988318993,1629.36469563,22.5753136138,-22.5753136138,0.0498664546685,0.000308004510187,-0.000308004510187
8,K00020,11804465,K00020.01,Kepler-12 b,CONFIRMED,4.43796303,1.67e-07,-1.67e-07,2455004.009,2.81e-05,-2.81e-05,0.0,0.0139,0.0,4.70104,0.00092,-0.00092,,,,16721.1,5.2,-5.2,0.117936,1.6e-05,-2.3e-05,0.50824,0.0002,-0.0005,18.22,3.93,-3.13,0.0545,,,1338.0,,,757.65,442.92,-279.52,8.08834,0.00318,-0.00318,3401.3093,3953.1,1,,5953.0,105.0,-123.0,4.175,0.14,-0.131,0.08,0.13,-0.14,1.415,0.305,-0.243,1.093,0.128,-0.091,,,,stellar_q1_q16,13.438,12.406,12.107,12.066,False,5926.5,60.0,-60.0,4.014,0.1,-0.1,0.033,0.04,-0.04,1.7,1.0,-1.0,50.040379,5953,12.066,1.415,0.031,0.026,0.023,1.093,286.24344,12.406,11111110111011101,12.107,13.438,0.0449166116789,88.78255,0.0124540329809,13.35964,16.7854850017,85406.3602364,286.243445846,2133599775377340672,50.0403671015,1.10570077282,True,,-0.07836,1.0,-1.69328616482,0.726946402761,-0.0189959993259,0.0178844792724,0.013244506039,1.09551454156,6.64387009024,-64.7806708396,5936.3745528,61.3515938589,-0.127764704617,0.0450944669926,1.56534224289,-1.24540329809e-05,1.24540329809e-05,4.08967584689,0.0760699052519,-0.0276866856337,-0.0461089687764,0.0362676847337,0.00110570077282,-0.0192484736988,0.0272504923439,20.1700533634,0.240990439821,-0.240990439821,913.193201023,52.1228583717,-52.1228583717,1400.89051063,19.9364252991,-19.9364252991,0.0545334962336,0.000863633700429,-0.000863633700429
9,K00022,9631995,K00022.01,Kepler-422 b,CONFIRMED,7.891448474,4.7e-07,-4.7e-07,2455010.25,4.66e-05,-4.66e-05,0.2002,0.0425,-0.0499,4.30403,0.00702,-0.00702,,,,10612.6,6.4,-6.4,0.093941,0.000138,-0.000243,1.04134,0.03357,-0.02312,12.24,2.45,-1.52,0.0796,,,1000.0,,,235.93,126.61,-70.93,15.078,0.486,-0.486,1977.3019,2148.2,1,,5853.0,95.0,-134.0,4.318,0.101,-0.142,0.2,0.1,-0.16,1.193,0.239,-0.148,1.08,0.077,-0.085,,,,stellar_q1_q16,13.435,12.357,12.126,12.041,False,5891.2,60.0,-60.0,4.21,0.1,-0.1,0.21,0.04,-0.04,1.9,1.0,-1.0,46.32336,5972,12.041,1.237,0.019,0.025,0.011,1.148,282.62967,12.357,11111111111111111,12.126,13.435,0.299689384157,108.23428,0.012515861069,13.423263,15.1805423267,80545.5118207,282.629633384,2107114704928577792,46.3232806864,1.35464529821,True,,-0.011737,1.0,-0.928209056505,1.12039744607,-0.0178164723753,0.0130014653918,0.181083529294,1.12697180561,5.10114248404,-55.8487083649,5878.32891883,66.3006866799,-0.0872259980283,0.086230438467,1.29723774961,-1.2515861069e-05,1.2515861069e-05,4.2637099302,0.028553255798,-0.0350223870651,-0.0390239194552,0.0458637290291,0.00135464529821,-0.016319173216,0.0185737159842,13.3080277023,0.160909835337,-0.160909835337,278.477920902,13.9248375814,-13.9248375814,1041.02514134,12.9835011919,-12.9835011919,0.0807748039105,0.000756099768062,-0.000756099768062
