 KOI   KICID      CP   PC   FP     Rp_min   KOI_Rp  Teq_min KOI_Teq    Kepmag      V         Ks     Observatories
   1   11446443    1    0    0      12.9      1.01   1344      1.01     11.34     11.46      9.85   Keck,Pal1.5,WIYN
   2   10666592    1    0    0      16.4      2.01   2025      2.01     10.46     10.52      9.33   Keck,Pal1.5,WIYN
   3   10748390    1    0    0       4.8      3.01    801      3.01      9.17      9.48      7.01   Keck,MMT,Pal1.5,WIYN
   4    3861595    0    1    0      13.1      4.01   2035      4.01     11.43     11.59     10.19   Pal1.5,WIYN
   5    8554498    0    2    0       0.7      5.02   1124      5.02     11.66     11.78     10.21   Keck,Pal1.5,Pal5,WIYN
   6    3248033    0    0    1      50.7      6.01   2166      6.01     12.16     12.33     10.99   CAHA
   7   11853905    1    0    0       4.1      7.01   1507      7.01     12.21     12.39     10.81   Pal1.5,Pal5,WIYN
   8    5903312    0    0    1       2.0      8.01   1752      8.01     12.45     12.62     11.04   Pal5
  10    6922244    1    0    0      14.8     10.01   1521     10.01     13.56     13.71     12.29   Pal1.5,Pal5,WIYN
  11   11913073    0    0    1      10.5     11.01   1031     11.01     13.50     13.75     11.78   Pal5
  12    5812701    1    0    0      14.6     12.01    942     12.01     11.35     11.39     10.23   CAHA,Keck,Lick,Pal1.5,WIYN
  13    9941662    1    0    0      25.8     13.01   3560     13.01      9.96      9.87      9.43   DCT,Gem,Keck,MMT,Pal1.5,Pal5,WIYN
  14    7684873    0    0    1       5.9     14.01   2405     14.01     10.47     10.62      9.84   Pal5
  17   10874614    1    0    0      13.4     17.01   1355     17.01     13.30     13.41     11.63   Pal1.5,Pal5
  18    8191672    1    0    0      15.3     18.01   1640     18.01     13.37     13.47     11.77   Gem,Pal1.5,Pal5
  20   11804465    1    0    0      18.2     20.01   1338     20.01     13.44     13.58     12.07   Pal1.5,Pal5,WIYN
  22    9631995    1    0    0      12.2     22.01   1000     22.01     13.44     13.64     12.04   Pal1.5,Pal5,WIYN
  28    4247791    0    0    1      83.1     28.01   1412     28.01     11.26     11.79     10.29   Pal5,WIYN
  31    6956014    0    0    1      45.3     31.01   6642     31.01     10.80     11.92      7.94   Pal5
  33    5725087    0    0    1      63.1     33.01   9970     33.01     11.06     11.10      7.59   Pal5
  41    6521045    3    0    0       1.3     41.02    674     41.03     11.20     11.36      9.77   CAHA,Keck,MMT,Pal1.5,Pal5,WIYN
  42    8866102    1    0    0       2.5     42.01    859     42.01      9.36      9.60      8.14   Keck,MMT,Pal1.5,Pal5,WIYN
  44    8845026    0    0    1      11.9     44.01    462     44.01     13.48     13.71     11.66   Keck,Lick,Pal1.5,WIYN
  46   10905239    2    0    0       0.9     46.02   1075     46.02     13.77     13.80     12.01   Keck,Pal1.5,WIYN
  49    9527334    1    0    0       2.7     49.01    886     49.01     13.70     13.56     11.92   CAHA,Pal1.5,WIYN
  51    6056992    0    1    0      49.8     51.01    833     51.01     13.76     14.02     14.31   CAHA,Pal1.5,WIYN
  63   11554435    1    0    0       5.6     63.01    789     63.01     11.58     11.81     10.00   Keck,Lick,Pal1.5,Pal5,WIYN
  64    7051180    0    1    0      10.3     64.01   2007     64.01     13.14     13.45     11.23   Keck,Pal1.5,Pal5,WIYN
  68    8669092    0    0    1      75.8     68.01   2222     68.01     12.73     12.92     11.40   Pal5,WIYN
  69    3544595    1    0    0       1.6     69.01   1039     69.01      9.93     10.20      8.37   CAHA,Keck,MMT,Pal1.5,Pal5,WIYN
  70    6850504    5    0    0       0.8     70.04    397     70.03     12.50     12.70     10.87   Keck,Lick,Pal1.5,Pal5,WIYN
  72   11904151    2    0    0       1.5     72.01    521     72.02     10.96     11.16      9.50   Keck,MMT,Pal1.5,Pal5,WIYN
  74    6889235    0    0    1       4.5     74.01   2118     74.01     10.96     10.93     10.70   WIYN
  75    7199397    0    1    0      10.5     75.01    596     75.01     10.77     10.94      9.39   Gem,Keck,MMT,Pal1.5,Pal5,WIYN
  76    9955262    0    1    0       8.2     76.01    695     76.01     10.14     10.40      9.11   MMT,Pal1.5,Pal5,WIYN
  80    9552608    0    0    1     864.5     80.01   1966     80.01     11.31     11.35     10.59   WIYN
  81    8823868    0    0    1      10.3     81.01   1480     81.01     11.41     11.39     11.11   WIYN
  82   10187017    5    0    0       0.5     82.05    460     82.03     11.49     11.90      9.35   CAHA,Keck,MMT,Pal1.5,WIYN
  84    2571238    1    0    0       2.1     84.01    764     84.01     11.90     12.15     10.32   Keck,Pal1.5,Pal5,WIYN
