 KOI  KICID     Telescope Instrument  Band    PSF  delta(m)   d    Obsdate
   1  11446443    Keck     NIRC2        K'   99.99   7.60    0.5   2012-07-06
   1  11446443    Keck     NIRC2        K'   99.99   4.11   0.03   2012-07-06
   1  11446443    Keck     NIRC2        K'   99.99   5.90    0.5   2012-07-06
   1  11446443    Keck     NIRC2         J    0.04   5.61    0.5   2014-07-17
   1  11446443    Keck     NIRC2         H    0.04   6.07    0.5   2014-07-17
   1  11446443    Keck     NIRC2        Ks    0.04   4.93    0.5   2014-07-17
   1  11446443  Pal1.5   Robo-AO        i'    0.12   5.40    0.5   2012-07-16
   1  11446443    WIYN      DSSI     880nm    0.05   2.73    0.2   2011-06-13
   1  11446443    WIYN      DSSI     692nm    0.05   3.28    0.2   2011-06-13
   1  11446443    WIYN      DSSI     880nm    0.05   2.67    0.2   2013-09-21
   1  11446443    WIYN      DSSI     692nm    0.05   3.50    0.2   2013-09-21
   1  11446443    WIYN      DSSI     880nm    0.05   2.84    0.2   2013-09-23
   1  11446443    WIYN      DSSI     692nm    0.05   2.82    0.2   2013-09-23
   2  10666592    Keck     NIRC2        K'   99.99   7.20    0.5   2012-08-14
   2  10666592    Keck     NIRC2        K'   99.99   5.80    0.5   2012-08-14
   2  10666592    Keck     NIRC2        K'   99.99   4.56   0.03   2014-08-13
   2  10666592  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
   2  10666592    WIYN      DSSI     880nm    0.05   2.78    0.2   2011-06-13
   2  10666592    WIYN      DSSI     692nm    0.05   4.01    0.2   2011-06-13
   3  10748390    Keck     NIRC2        K'   99.99   7.70    0.5   2012-07-05
   3  10748390    Keck     NIRC2        K'   99.99   4.17   0.03   2012-07-05
   3  10748390     MMT     ARIES        Ks    0.15   8.00    1.0   2012-10-02
   3  10748390     MMT     ARIES         J    0.20   8.00    1.0   2012-10-02
   3  10748390  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
   3  10748390    WIYN      DSSI     880nm    0.05   3.45    0.2   2011-06-13
   3  10748390    WIYN      DSSI     692nm    0.05   3.76    0.2   2011-06-13
   4   3861595  Pal1.5   Robo-AO        i'    0.12  99.99  99.99   2012-07-16
   4   3861595    WIYN      DSSI     692nm    0.05   3.06    0.2   2010-09-17
   4   3861595    WIYN      DSSI     562nm    0.05   3.46    0.2   2010-09-17
   4   3861595    WIYN      DSSI     692nm    0.05   3.58    0.2   2010-09-18
   4   3861595    WIYN      DSSI     562nm    0.05   4.01    0.2   2010-09-18
   5   8554498    Keck     NIRC2        K'   99.99   6.70    0.5   2012-08-14
   5   8554498    Keck     NIRC2        K'   99.99   1.12   0.03   2012-08-14
   5   8554498    Keck     NIRC2        K'    0.05   8.00    0.5   2013-08-20
   5   8554498  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
   5   8554498    Pal5     PHARO         J    0.24   5.08    0.5   2009-09-10
   5   8554498    WIYN      DSSI     692nm    0.05   3.02    0.2   2010-09-17
   5   8554498    WIYN      DSSI     562nm    0.05   3.44    0.2   2010-09-17
   5   8554498    WIYN      DSSI     692nm    0.05   3.13    0.2   2010-09-18
   5   8554498    WIYN      DSSI     562nm    0.05   3.50    0.2   2010-09-18
   5   8554498    WIYN      DSSI     692nm    0.05   3.12    0.2   2010-09-21
   5   8554498    WIYN      DSSI     880nm    0.05   2.38    0.2   2010-09-21
   6   3248033    CAHA  AstraLux        i'    0.16   3.24    0.5   2013-06-23
   7  11853905  Pal1.5   Robo-AO        i'    0.12   4.60    0.2   2012-07-16
   7  11853905    Pal5     PHARO         J    0.06   6.99    0.5   2009-09-08
   7  11853905    WIYN      DSSI     562nm    0.05   3.54    0.2   2010-09-17
   7  11853905    WIYN      DSSI     692nm    0.05   3.53    0.2   2010-09-17
   8   5903312    Pal5     PHARO         J    0.09   6.36    0.5   2009-09-07
  10   6922244  Pal1.5   Robo-AO        i'    0.14   3.00    0.2   2012-07-16
  10   6922244    Pal5     PHARO         J    0.09   6.19    0.5   2009-09-09
  10   6922244    WIYN      DSSI     562nm    0.05   3.13    0.2   2010-09-17
  10   6922244    WIYN      DSSI     692nm    0.05   3.07    0.2   2010-09-17
  11  11913073    Pal5     PHARO         J    0.06   7.03    0.5   2009-09-09
  12   5812701    CAHA  AstraLux        i'    0.10   3.58    0.5   2011-06-03
  12   5812701    Keck     NIRC2        K'   99.99   3.10   0.03   2012-08-14
