 KOI   ID  KICID(primary) KICID(companion)  d["]   d_unc  PA[deg]  PA_unc   U        U_unc     B        B_unc     V        V_unc    F555W   F555W_unc  F775W   F775W_unc   i        i_unc     z       z_unc      LP600  LP600_unc   562    562_unc     692    692_unc     880    880_unc     J        J_unc     H        H_unc     K        K_unc
    1   B     11446443    11446443_blend   1.112   0.051   136.2    1.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.950    0.330    99.990   99.990    99.990   99.990    99.990   99.990     4.269    0.150     3.379    0.150     2.800    0.100     2.500    0.100     2.359    0.029
    2   B     10666592    10666592_blend   3.093   0.050   266.4    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.525    0.114
    2   C     10666592    10666592_blend   3.849   0.060    90.1    1.1    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     5.745    0.018    99.990   99.990     5.965    0.045
    4   B      3861595     3861595_blend   3.394   0.062    74.8    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.460    0.050    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     4.233    0.010    99.990   99.990    99.990   99.990
    5   B      8554498     8554498_blend   0.029   0.050   142.1    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     0.400    0.062
    5   C      8554498     8554498_blend   0.141   0.050   304.3    2.2    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     2.841    0.389     3.036    0.150    99.990   99.990    99.990   99.990    99.990   99.990     2.310    0.199
    6   B      3248033     3248033_blend   3.381   0.050   307.8    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.393    0.126    99.990   99.990    99.990   99.990
   10   B      6922244     6922244_blend   3.128   0.050   265.8    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     7.895    0.032    99.990   99.990    99.990   99.990
   10   C      6922244     6922244_blend   3.830   0.050    89.3    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     6.266    0.032    99.990   99.990    99.990   99.990
   12   B      5812701     5812701_blend   0.603   0.050   345.7    1.0    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990    99.990   99.990     3.835    0.010
