iso_steff,iso_slogg_err2,iso_steff_err1,iso_steff_err2,iso_slogage,iso_smass,iso_sparallax_err1,iso_sparallax_err2,id_starname,iso_sparallax,iso_srad,iso_smet_err1,iso_smet_err2,iso_smass_err2,iso_smass_err1,iso_slogg_err1,iso_srad_err1,iso_smet,iso_srad_err2,iso_slogg,iso_slogage_err1,iso_slogage_err2,iso_sage,iso_sage_err1,iso_sage_err2
5815.0,-0.091,66.0,-65.0,9.75,1.014,0.43,-0.49,K00001,4.68,1.061,0.041,-0.04,-0.028,0.028,0.078,0.123,0.013,-0.085,4.39,0.13,-0.31,5.6234132519,1.96236249839,-2.86918454857
6447.0,-0.11,65.0,-64.0,9.355,1.374,0.56,-0.51,K00002,3.63,1.63,0.041,-0.043,-0.063,0.09,0.11,0.27,0.192,-0.22,4.15,0.055,-0.107,2.26464430759,0.305751475176,-0.494535349276
4867.0,-0.034,66.0,-65.0,9.97,0.827,1.1,-1.1,K00003,25.3,0.807,0.042,-0.043,-0.021,0.025,0.039,0.029,0.309,-0.027,4.541,0.16,-0.38,9.33254300797,4.15708581795,-5.44209155803
6344.0,-0.084,65.0,-67.0,9.29,1.225,0.17,-0.22,K00006,2.19,1.261,0.042,-0.042,-0.03,0.033,0.06,0.142,0.041,-0.086,4.323,0.17,-0.38,1.94984459976,0.934186903369,-1.13701408359
5833.0,-0.096,60.0,-67.0,9.812,1.119,0.32,-0.28,K00007,2.08,1.53,0.041,-0.042,-0.055,0.099,0.106,0.24,0.171,-0.2,4.117,0.078,-0.114,6.48634433548,1.2761268308,-1.49749946088
5883.0,-0.065,67.0,-64.0,9.47,1.017,0.17,-0.2,K00008,2.89,0.985,0.042,-0.043,-0.029,0.029,0.044,0.071,-0.063,-0.049,4.46,0.25,-0.46,2.95120922667,2.29686537583,-1.92791623439
6179.0,-0.107,68.0,-63.0,9.601,1.128,0.14,-0.17,K00010,1.19,1.31,0.046,-0.045,-0.04,0.069,0.09,0.22,-0.073,-0.14,4.254,0.072,-0.102,3.99024902362,0.719524240348,-0.835244400247
5667.0,-0.099,58.0,-63.0,9.827,1.114,0.22,-0.21,K00017,1.53,1.45,0.041,-0.04,-0.058,0.095,0.1,0.22,0.339,-0.18,4.165,0.092,-0.114,6.71428852926,1.58421914588,-1.55012483654
6333.0,-0.11,67.0,-69.0,9.469,1.294,0.18,-0.18,K00018,1.22,1.59,0.041,-0.039,-0.069,0.088,0.1,0.28,0.025,-0.21,4.15,0.044,-0.055,2.9444216338,0.313945376221,-0.35024227168
5927.0,-0.098,65.0,-65.0,9.774,1.14,0.16,-0.14,K00020,1.06,1.67,0.042,-0.041,-0.053,0.087,0.105,0.26,0.032,-0.22,4.05,0.067,-0.093,5.94292158616,0.99133647401,-1.14558709979
