bin_center,occ,occ_err
0.527,0.023627, inf
0.586,0.019428, inf
0.651,0.043301, inf
0.723,0.059187, inf
0.803,0.071599, inf
0.893,0.035038, inf
0.992,0.068186, inf
1.102,0.059497, inf
1.225,0.074129,0.010182
1.361,0.073034,0.008378
1.512,0.059664,0.006983
1.680,0.038388,0.005923
1.867,0.049783,0.007775
2.074,0.090327,0.011472
2.305,0.104760,0.012433
2.561,0.081993,0.010498
2.846,0.078480,0.010883
3.162,0.042838,0.007694
3.514,0.008238,0.002484
3.904,0.019750,0.005099
4.338,0.006336,0.002834
4.821,0.007463,0.003731
5.356,0.006363,0.003673
5.952,0.005827,0.002606
6.613,0.000000,100.000000
7.348,0.004442,0.002564
8.165,0.004131,0.002385
9.073,0.000000,100.000000
10.081,0.001600,0.001131
11.202,0.000000,100.000000
12.447,0.001702,0.000851
13.830,0.003870,0.001731
15.367,0.000569,0.000402
17.075,0.000489,0.000346
18.973,0.000345,0.000345
