id_koicand,cks_disp,morton_disp,mullaly_disp,nea_disp
K00001.01,CP,CP,CP,CP
K00002.01,CP,CP,CP,CP
K00003.01,CP,CP,CP,CP
K00006.01,FP,FP,FP,FP
K00007.01,CP,CP,CP,CP
K00008.01,FP,FP,FP,FP
K00010.01,CP,CP,CP,CP
K00017.01,CP,CP,CP,CP
K00018.01,CP,CP,CP,CP
K00020.01,CP,CP,CP,CP
K00022.01,CP,CP,CP,CP
K00041.01,CP,CP,CP,CP
K00041.02,CP,CP,CP,CP
K00041.03,CP,CP,CP,CP
K00042.01,CP,CP,CP,CP
K00046.01,CP,CP,CP,CP
K00046.02,CP,CP,CP,CP
K00049.01,CP,PC,CP,CP
K00063.01,CP,CP,CP,CP
K00064.01,PC,PC,ND,PC
K00069.01,CP,CP,CP,CP
K00070.01,CP,CP,CP,CP
K00070.02,CP,CP,CP,CP
K00070.03,CP,CP,CP,CP
K00070.04,CP,CP,CP,CP
K00070.05,CP,CP,CP,CP
K00072.01,CP,CP,CP,CP
K00072.02,CP,CP,CP,CP
K00075.01,PC,PC,PC,PC
K00082.01,CP,CP,CP,CP
K00082.02,CP,CP,CP,CP
K00082.03,CP,CP,CP,CP
K00082.04,CP,CP,CP,CP
K00082.05,CP,CP,CP,CP
K00084.01,CP,CP,CP,CP
K00085.01,CP,CP,CP,CP
K00085.02,CP,CP,CP,CP
K00085.03,CP,CP,CP,CP
K00087.01,CP,CP,CP,CP
K00092.01,PC,PC,PC,PC
K00094.01,CP,CP,CP,CP
K00094.02,CP,CP,CP,CP
K00094.03,CP,CP,CP,CP
K00094.04,CP,CP,CP,CP
K00097.01,CP,CP,CP,CP
K00098.01,CP,CP,CP,CP
K00099.01,PC,nodata,ND,PC
K00099.02,FP,nodata,FP,FP
K00102.01,PC,PC,ND,PC
K00102.02,FP,FP,ND,FP
K00103.01,PC,PC,ND,PC
K00104.01,CP,CP,CP,CP
K00105.01,CP,PC,CP,CP
K00107.01,CP,PC,CP,CP
K00108.01,CP,CP,CP,CP
K00108.02,CP,CP,CP,CP
K00110.01,CP,PC,CP,CP
K00111.01,CP,CP,CP,CP
K00111.02,CP,CP,CP,CP
K00111.03,CP,CP,CP,CP
K00111.04,FP,nodata,ND,FP
K00112.01,CP,PC,CP,CP
K00112.02,CP,PC,CP,CP
K00113.01,FP,nodata,FP,FP
K00115.01,CP,CP,CP,CP
K00115.02,CP,CP,CP,CP
K00115.03,PC,nodata,ND,PC
K00116.01,CP,CP,CP,CP
K00116.02,CP,CP,CP,CP
K00116.03,CP,CP,CP,CP
K00116.04,CP,CP,CP,CP
K00117.01,CP,CP,CP,CP
K00117.02,CP,CP,CP,CP
K00117.03,CP,CP,CP,CP
K00117.04,CP,CP,CP,CP
K00118.01,CP,PC,CP,CP
K00119.01,CP,CP,CP,CP
K00119.02,CP,CP,CP,CP
K00122.01,CP,CP,CP,CP
K00123.01,CP,CP,CP,CP
K00123.02,CP,CP,CP,CP
K00124.01,CP,CP,CP,CP
K00124.02,CP,CP,CP,CP
K00127.01,CP,CP,CP,CP
K00128.01,CP,CP,CP,CP
K00134.01,FP,nodata,ND,FP
K00135.01,CP,CP,CP,CP
K00137.01,CP,CP,CP,CP
K00137.02,CP,CP,CP,CP
K00137.03,CP,CP,CP,CP
K00139.01,CP,CP,CP,CP
K00139.02,CP,CP,CP,CP
K00141.01,PC,PC,ND,PC
K00142.01,CP,nodata,CP,CP
K00142.02,FP,nodata,ND,FP
K00144.01,CP,PC,CP,CP
K00145.01,PC,PC,PC,PC
K00148.01,CP,CP,CP,CP
K00148.02,CP,CP,CP,CP
K00148.03,CP,CP,CP,CP
K00149.01,CP,PC,CP,CP
K00150.01,CP,CP,CP,CP
K00150.02,CP,CP,CP,CP
K00152.01,CP,CP,CP,CP
K00152.02,CP,CP,CP,CP
K00152.03,CP,CP,CP,CP
K00152.04,CP,CP,CP,CP
K00153.01,CP,CP,CP,CP
K00153.02,CP,CP,CP,CP
K00155.01,CP,PC,CP,CP
K00156.01,CP,CP,CP,CP
K00156.02,CP,CP,CP,CP
K00156.03,CP,CP,CP,CP
K00157.01,CP,CP,CP,CP
K00157.02,CP,CP,CP,CP
K00157.03,CP,CP,CP,CP
K00157.04,CP,CP,CP,CP
K00157.05,CP,CP,CP,CP
K00157.06,CP,CP,CP,CP
K00159.01,CP,CP,CP,CP
K00159.02,CP,CP,CP,CP
K00161.01,CP,PC,CP,CP
K00162.01,CP,PC,CP,CP
K00163.01,CP,PC,CP,CP
K00165.01,CP,PC,CP,CP
K00166.01,CP,PC,CP,CP
K00167.01,CP,PC,CP,CP
K00168.01,CP,CP,CP,CP
K00168.02,CP,CP,CP,CP
K00168.03,CP,CP,CP,CP
K00171.01,CP,CP,CP,CP
K00171.02,CP,CP,CP,CP
K00172.01,CP,CP,CP,CP
K00172.02,CP,CP,CP,CP
K00173.01,CP,PC,CP,CP
K00174.01,CP,PC,CP,CP
K00176.01,CP,PC,CP,CP
K00177.01,PC,PC,ND,PC
K00179.01,CP,PC,CP,CP
K00179.02,CP,nodata,CP,CP
K00180.01,CP,PC,CP,CP
K00186.01,CP,PC,CP,CP
K00191.01,CP,PC,CP,CP
K00191.02,PC,PC,ND,PC
K00191.03,PC,PC,ND,PC
K00191.04,CP,PC,CP,CP
K00193.01,FP,FP,ND,FP
K00195.01,CP,CP,CP,CP
K00197.01,CP,PC,CP,CP
K00201.01,CP,PC,CP,CP
K00203.01,CP,CP,CP,CP
K00209.01,CP,CP,CP,CP
K00209.02,CP,CP,CP,CP
K00211.01,PC,PC,PC,PC
K00214.01,CP,CP,CP,CP
K00232.01,CP,CP,CP,CP
K00232.02,CP,CP,CP,CP
K00232.03,CP,CP,CP,CP
K00232.04,CP,CP,CP,CP
K00232.05,CP,CP,CP,CP
K00237.01,CP,PC,CP,CP
K00238.01,CP,CP,CP,CP
K00238.02,CP,CP,CP,CP
K00238.03,FP,nodata,FP,FP
K00241.01,CP,CP,CP,CP
K00241.02,CP,CP,CP,CP
K00241.03,CP,CP,CP,CP
K00244.01,CP,CP,CP,CP
K00244.02,CP,CP,CP,CP
K00245.01,CP,CP,CP,CP
K00245.02,CP,CP,CP,CP
K00245.03,CP,nodata,CP,CP
K00245.04,FP,nodata,CP,CP
K00246.01,CP,CP,CP,CP
K00246.02,CP,CP,CP,CP
K00257.01,CP,PC,CP,CP
K00260.01,CP,CP,CP,CP
K00260.02,CP,CP,CP,CP
K00260.03,CP,CP,CP,CP
K00261.01,CP,CP,CP,CP
K00262.01,CP,CP,CP,CP
K00262.02,CP,CP,CP,CP
K00263.01,FP,FP,FP,FP
K00265.01,CP,PC,CP,CP
K00266.01,CP,PC,CP,CP
K00266.02,PC,PC,PC,PC
K00268.01,PC,PC,PC,PC
K00269.01,PC,PC,ND,PC
K00270.01,CP,CP,CP,CP
K00270.02,CP,CP,CP,CP
K00271.01,CP,CP,CP,CP
K00271.02,CP,CP,CP,CP
K00271.03,CP,CP,CP,CP
K00273.01,CP,PC,CP,CP
K00274.01,CP,CP,CP,CP
K00274.02,CP,CP,CP,CP
K00275.01,CP,CP,CP,CP
