id_starname,cks_steff,cks_steff_err1,cks_steff_err2,cks_smet,cks_smet_err1,cks_smet_err2,m17_kmag,m17_kmag_err,gaia2_sparallax,gaia2_sparallax_err,gdir_srad,gdir_srad_err1,gdir_srad_err2,giso_smass,giso_smass_err1,giso_smass_err2,giso_slogage,giso_slogage_err1,giso_slogage_err2,gaia2_gflux_ratio,fur17_rcorr_avg
K00001,5819, 60, -60,0.01,0.04,-0.04,9.846,0.022,4.668,0.022,1.045,0.025,-0.024,0.991,0.034,-0.035,9.74,0.13,-0.15,1.000,1.0102
K00002,6449, 60, -60,0.20,0.04,-0.04,9.334,0.018,2.956,0.021,1.973,0.043,-0.042,1.515,0.028,-0.017,9.25,0.04,-0.05,1.001,1.0034
K00006,6348, 60, -60,0.04,0.04,-0.04,10.995,0.023,2.128,0.026,1.297,0.033,-0.032,1.203,0.043,-0.022,9.32,0.09,-0.24,1.007,1.0006
K00007,5827, 60, -60,0.18,0.04,-0.04,10.805,0.023,2.074,0.024,1.509,0.040,-0.039,1.148,0.047,-0.052,9.78,0.09,-0.08,1.000,nan
K00008,5891, 60, -60,-0.07,0.04,-0.04,11.040,0.018,3.011,0.024,0.935,0.022,-0.022,0.996,0.020,-0.027,9.18,0.26,-0.52,1.001,nan
K00010,6181, 60, -60,-0.08,0.04,-0.04,12.293,0.015,1.003,0.014,1.536,0.038,-0.037,1.145,0.041,-0.046,9.67,0.08,-0.07,1.007,1.0013
K00017,5660, 60, -60,0.36,0.04,-0.04,11.634,0.019,1.728,0.014,1.261,0.031,-0.030,1.090,0.034,-0.030,9.81,0.09,-0.09,1.032,nan
K00018,6332, 60, -60,0.02,0.04,-0.04,11.769,0.025,1.136,0.020,1.740,0.051,-0.049,1.309,0.023,-0.025,9.46,0.04,-0.04,1.018,1.0047
K00020,5926, 60, -60,0.03,0.04,-0.04,12.066,0.023,1.159,0.012,1.504,0.039,-0.037,1.086,0.062,-0.030,9.83,0.05,-0.11,1.000,nan
K00022,5891, 60, -60,0.21,0.04,-0.04,12.041,0.011,1.408,0.013,1.252,0.029,-0.028,1.119,0.027,-0.031,9.67,0.09,-0.10,1.000,nan
