id_koicand, koi_snr, det_prob, tr_prob, weight
K00958.01, 186.24, 0.966, 0.0210, 49.24
K04053.01, 21.03, 0.770, 0.1683, 7.71
K04212.02, 8.77, 0.810, 0.0541, 22.85
K04212.01, 16.53, 0.926, 0.0783, 13.79
K01001.01, 37.27, 0.991, 0.0314, 32.14
K01001.02, 15.49, 0.957, 0.0138, 75.81
K02534.01, 22.64, 0.940, 0.1135, 9.37
K02534.02, 11.91, 0.839, 0.0770, 15.49
K02403.01, 17.98, 0.786, 0.0426, 29.89
K00988.01, 60.03, 0.971, 0.0358, 28.79
K00988.02, 34.80, 0.934, 0.0201, 53.17
K02053.01, 32.83, 0.962, 0.0518, 20.07
K02053.02, 32.96, 0.961, 0.1040, 10.01
K00440.01, 71.06, 0.980, 0.0283, 36.05
K00440.02, 85.97, 0.992, 0.0615, 16.41
K01944.01, 30.53, 0.960, 0.0359, 29.03
K00166.01, 63.98, 0.958, 0.0330, 31.66
K02603.01, 17.90, 0.854, 0.0195, 59.95
K00103.01, 52.56, 0.980, 0.0316, 32.33
K02009.01, 35.93, 0.923, 0.0126, 85.90
K00084.01, 110.61, 0.979, 0.0441, 23.18
K04581.01, 8.78, 0.383, 0.0755, 34.60
K03681.01, 695.62, 1.000, 0.0071, 141.74
K03681.02, 20.51, 0.695, 0.0532, 27.02
K00299.01, 84.65, 0.988, 0.1459, 6.94
K04400.01, 14.95, 0.761, 0.1347, 9.76
K01116.01, 39.73, 0.944, 0.0933, 11.35
K01118.01, 23.07, 0.968, 0.0737, 14.02
K00986.02, 12.76, 0.779, 0.0109, 117.99
K00986.01, 56.13, 0.981, 0.0481, 21.21
K01113.01, 37.31, 0.969, 0.0293, 35.20
K01113.02, 27.57, 0.940, 0.0134, 79.10
K04659.01, 12.19, 0.465, 0.0166, 130.01
K00197.01, 710.78, 1.000, 0.0258, 38.69
K01824.02, 66.23, 0.960, 0.1685, 6.18
K01824.01, 65.54, 0.957, 0.1022, 10.23
K01878.01, 37.86, 0.970, 0.0229, 45.06
K00273.01, 48.68, 0.950, 0.0466, 22.58
K03225.01, 11.10, 0.084, 0.0643, 184.14
K03277.01, 17.33, 0.965, 0.0336, 30.84
K00401.02, 50.76, 0.977, 0.0070, 145.18
K00401.03, 21.21, 0.863, 0.0143, 81.02
K00401.01, 134.78, 0.996, 0.0219, 45.83
K00490.03, 32.39, 0.939, 0.0450, 23.66
K00490.04, 12.64, 0.714, 0.0219, 63.94
K00490.01, 36.73, 0.953, 0.0638, 16.46
K00490.02, 214.83, 0.996, 0.0016, 614.31
K00377.01, 236.66, 1.000, 0.0287, 34.88
K00377.02, 170.60, 1.000, 0.0180, 55.72
K00377.03, 22.56, 0.972, 0.1511, 6.81
K02278.01, 25.23, 0.970, 0.0524, 19.68
K02278.02, 16.80, 0.900, 0.1061, 10.48
K00384.01, 52.55, 0.997, 0.1355, 7.40
K00268.01, 72.33, 0.940, 0.0117, 90.86
K03876.01, 46.08, 0.920, 0.0263, 41.37
K00118.01, 49.23, 0.959, 0.0350, 29.80
K00624.01, 70.99, 0.981, 0.0280, 36.44
K00624.02, 35.82, 0.946, 0.0141, 74.85
K00624.03, 56.24, 0.971, 0.1590, 6.47
K00069.01, 105.83, 0.957, 0.0747, 13.98
K02755.01, 22.17, 0.424, 0.0518, 45.54
K02194.01, 26.42, 0.943, 0.0264, 40.17
K02194.02, 20.75, 0.876, 0.0169, 67.60
K02194.03, 9.73, 0.518, 0.0048, 400.28
K03308.01, 21.60, 0.968, 0.0338, 30.54
K03308.02, 14.75, 0.946, 0.1112, 9.51
K00975.01, 33.51, 0.971, 0.1948, 5.29
K00301.01, 60.35, 0.975, 0.0902, 11.38
K00301.02, 18.24, 0.806, 0.0586, 21.15
K00386.01, 51.78, 0.982, 0.0215, 47.31
K00386.02, 28.16, 0.946, 0.0118, 89.58
K02279.02, 15.96, 0.887, 0.0459, 24.56
K02279.01, 24.60, 0.927, 0.0275, 39.27
K00387.01, 150.25, 0.979, 0.0280, 36.51
K02261.01, 25.99, 0.863, 0.0682, 16.98
K02261.02, 11.44, 0.491, 0.0485, 41.95
K00388.01, 80.69, 0.997, 0.1097, 9.14
K01216.01, 33.42, 0.979, 0.0682, 14.96
K00444.01, 55.52, 0.963, 0.0387, 26.85
K04423.01, 11.64, 0.933, 0.0971, 11.04
K02289.01, 23.64, 0.918, 0.0166, 65.81
K02289.02, 20.00, 0.877, 0.0354, 32.22
K01215.01, 50.16, 0.988, 0.0512, 19.78
K01215.02, 30.74, 0.975, 0.0333, 30.82
K00392.02, 12.01, 0.900, 0.0573, 19.39
K00393.01, 39.12, 0.974, 0.0396, 25.89
K02904.01, 23.38, 0.933, 0.0516, 20.78
K02119.01, 44.77, 0.972, 0.2529, 4.07
K01344.01, 26.04, 0.949, 0.1111, 9.48
K00280.01, 73.03, 0.955, 0.0444, 23.55
K02202.01, 39.31, 0.947, 0.2012, 5.25
K03880.01, 56.48, 0.913, 0.1642, 6.67
K03678.01, 539.85, 0.999, 0.0066, 151.76
K01335.01, 57.78, 0.999, 0.0137, 73.13
K01860.01, 39.32, 0.987, 0.0618, 16.39
K01860.02, 27.95, 0.976, 0.0399, 25.71
K01860.03, 21.94, 0.962, 0.0999, 10.40
K01860.04, 6.93, 0.756, 0.0248, 53.31
K03864.02, 14.44, 0.279, 0.0237, 151.34
K00550.01, 55.77, 0.976, 0.0359, 28.50
K00144.01, 151.68, 0.997, 0.0673, 14.89
K04774.01, 11.19, 0.459, 0.0132, 165.69
K01803.01, 85.66, 0.980, 0.0607, 16.79
K00244.01, 174.30, 0.999, 0.0503, 19.90
K00244.02, 89.35, 0.992, 0.0809, 12.46
K01738.01, 31.55, 0.847, 0.0716, 16.47
K03168.01, 12.59, 0.405, 0.0233, 106.17
K04452.01, 12.57, 0.872, 0.0597, 19.20
K00626.01, 51.71, 0.975, 0.0432, 23.76
K00626.02, 11.20, 0.696, 0.0643, 22.35
K02547.01, 18.66, 0.946, 0.0587, 18.00
K04288.01, 15.18, 0.547, 0.0839, 21.78
K04288.02, 11.65, 0.447, 0.0656, 34.09
K04157.01, 14.62, 0.668, 0.1031, 14.52
